name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars
Kinjo,2019,37.79699,-122.422005,San Francisco,California,94109,Japanese,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,one
Sorrel,2019,37.788334,-122.44614,San Francisco,California,94101,Californian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,one
Gary Danko,2019,37.80599,-122.42066,San Francisco,California,94109,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,one
Bar Crenn,2019,37.798435,-122.43581,San Francisco,California,94101,French,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,one
Spruce,2019,37.78772,-122.45264,San Francisco,California,94118,Californian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,one
Wako,2019,37.783035,-122.461525,San Francisco,California,94118,Japanese,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,one
Madcap,2019,37.974712,-122.56168,San Francisco,California,94960,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,one
Aubergine,2019,36.55406,-121.924355,Monterey,California,93921,Contemporary,Max,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,one
Kenzo,2019,38.29924,-122.28928,San Francisco,California,94559,Japanese,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,one
La Toque,2019,38.30351,-122.28349,San Francisco,California,94573,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,one
Bouchon,2019,38.40258,-122.3619,San Francisco,California,94599,French,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,one
Auberge du Soleil,2019,38.49199,-122.40534,San Francisco,California,94573,Californian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,one
Farmhouse Inn & Restaurant,2019,38.49039,-122.8835,San Francisco,California,95436,Californian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,one
The Kitchen,2019,38.58894,-121.41424,Sacramento,California,95825,Contemporary,Max,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,one
Madrona Manor,2019,38.60428,-122.88647,San Francisco,California,95448,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,one
Harbor House,2019,39.135876,-123.719444,San Francisco,California,N/A,Californian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,one
Shin Sushi,2019,34.15784,-118.49415,Los Angeles,California,91436,Japanese,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,one
Rustic Canyon,2019,34.024952,-118.49118,Los Angeles,California,90401,Californian,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,one
Dialogue,2019,34.01679,-118.49748,Los Angeles,California,90401,Contemporary,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,one
Kato,2019,34.041683,-118.460915,Los Angeles,California,90025,Asian,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,one
CUT,2019,34.067036,-118.401024,Los Angeles,California,90212,Steakhouse,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,one
Nozawa Bar,2019,34.0683,-118.39849,Los Angeles,California,90210,Japanese,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,one
Shunji,2019,34.028496,-118.45195,Los Angeles,California,90064,Japanese,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,one
Maude,2019,34.064346,-118.39904,Los Angeles,California,90212,Contemporary,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,one
Mori Sushi,2019,34.033398,-118.44229,Los Angeles,California,90064,Japanese,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,one
Trois Mec,2019,34.084255,-118.33851,Los Angeles,California,90028,Contemporary,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,one
Osteria Mozza,2019,34.08342,-118.338974,Los Angeles,California,90028,Italian,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,one
Kali,2019,34.083443,-118.32455,Los Angeles,California,90028,Californian,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,one
Le Comptoir,2019,34.06354,-118.30057,Los Angeles,California,90020,Californian,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,one
Q Sushi,2019,34.046883,-118.255844,Los Angeles,California,90017,Japanese,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,one
Shibumi,2019,34.044155,-118.256134,Los Angeles,California,90014,Japanese,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,one
Hayato,2019,34.03311,-118.24265,Los Angeles,California,90001,Japanese,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,one
Bistro Na's,2019,34.104412,-118.07159,Los Angeles,California,91780,Chinese,Min,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,one
Orsa & Winston,2019,33.92145,-118.275406,Los Angeles,California,90013,Fusion,Max,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,one
Taco María,2019,33.69475,-117.924965,Costa Mesa,California,92626,Mexican,Max,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,one
Hana re,2019,33.67759,-117.886566,Costa Mesa,California,92626,Japanese,Max,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,one
Addison,2019,32.939903,-117.20013,San Diego,California,92130,Contemporary,Max,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,one
Parachute,2019,41.94483,-87.70638,Chicago,Chicago,60618,Fusion,Min,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,one
Goosefoot,2019,41.96856,-87.69596,Chicago,Chicago,60625,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,one
Elizabeth,2019,41.969555,-87.688736,Chicago,Chicago,60625,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,one
EL Ideas,2019,41.863,-87.68686,Chicago,Chicago,60618,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,one
Band of Bohemia,2019,41.967308,-87.67477,Chicago,Chicago,60640,Gastropub,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,one
Schwa,2019,41.90888,-87.66792,Chicago,Chicago,60662,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,one
Temporis,2019,41.898907,-87.66725,Chicago,Chicago,N/A,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,one
Entente,2019,41.93721,-87.6652,Chicago,Chicago,60657,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,one
Elske,2019,41.884426,-87.66071,Chicago,Chicago,60607,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,one
Dusek's (Board & Beer),2019,41.857853,-87.65757,Chicago,Chicago,60608,Gastropub,Min,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,one
Roister,2019,41.886658,-87.65187,Chicago,Chicago,60607,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,one
Boka,2019,41.91363,-87.64806,Chicago,Chicago,60614,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,one
Blackbird,2019,41.88423,-87.64356,Chicago,Chicago,60661,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,one
Sepia,2019,41.88394,-87.64247,Chicago,Chicago,60661,American,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,one
North Pond,2019,41.9296,-87.63762,Chicago,Chicago,60614,Contemporary,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,one
Everest,2019,41.87597,-87.63212,Chicago,Chicago,60605,French,Max,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,one
